Subset,Hyperparameter Combination,Type,Score
Subset 46,0,pure,0.7482447342026078
Subset 46,0,enhanced,0.751503006012024
Subset 46,1,pure,0.7377377377377378
Subset 46,1,enhanced,0.7467467467467468
Subset 46,10,pure,0.7257257257257257
Subset 46,10,enhanced,0.717434869739479
Subset 46,11,pure,0.7058232931726908
Subset 46,11,enhanced,0.7181544633901705
Subset 46,12,pure,0.7527527527527528
Subset 46,12,enhanced,0.7457457457457457
Subset 46,13,pure,0.7134268537074149
Subset 46,13,enhanced,0.7098393574297188
Subset 46,14,pure,0.6926926926926927
Subset 46,14,enhanced,0.7077077077077077
Subset 46,15,pure,0.7537840565085772
Subset 46,15,enhanced,0.7555110220440882
Subset 46,16,pure,0.7525050100200401
Subset 46,16,enhanced,0.7447447447447447
Subset 46,17,pure,0.7464646464646465
Subset 46,17,enhanced,0.7267267267267268
Subset 46,18,pure,0.7497497497497497
Subset 46,18,enhanced,0.7545090180360722
Subset 46,19,pure,0.7317317317317318
Subset 46,19,enhanced,0.7194388777555111
Subset 46,2,pure,0.7407407407407407
Subset 46,2,enhanced,0.7487487487487487
Subset 46,20,pure,0.7244488977955912
Subset 46,20,enhanced,0.7207207207207207
Subset 46,21,pure,0.7527527527527528
Subset 46,21,enhanced,0.7457457457457457
Subset 46,22,pure,0.7247247247247247
Subset 46,22,enhanced,0.7134268537074149
Subset 46,23,pure,0.6956956956956957
Subset 46,23,enhanced,0.6956956956956957
Subset 46,24,pure,0.7477477477477478
Subset 46,24,enhanced,0.7467467467467468
Subset 46,25,pure,0.7037037037037037
Subset 46,25,enhanced,0.7034068136272545
Subset 46,26,pure,0.6833667334669339
Subset 46,26,enhanced,0.6946946946946947
Subset 46,27,pure,0.7447447447447447
Subset 46,27,enhanced,0.7437437437437437
Subset 46,28,pure,0.6972754793138244
Subset 46,28,enhanced,0.6963927855711423
Subset 46,29,pure,0.679037111334002
Subset 46,29,enhanced,0.6783567134268537
Subset 46,3,pure,0.753259779338014
Subset 46,3,enhanced,0.7577577577577578
Subset 46,30,pure,0.7547547547547547
Subset 46,30,enhanced,0.7567567567567568
Subset 46,31,pure,0.7487487487487487
Subset 46,31,enhanced,0.7407407407407407
Subset 46,32,pure,0.7344064386317908
Subset 46,32,enhanced,0.7397397397397397
Subset 46,33,pure,0.7527527527527528
Subset 46,33,enhanced,0.7542627883650953
Subset 46,34,pure,0.7284569138276553
Subset 46,34,enhanced,0.7227227227227228
Subset 46,35,pure,0.7137137137137137
Subset 46,35,enhanced,0.7028112449799196
Subset 46,36,pure,0.7487487487487487
Subset 46,36,enhanced,0.7487487487487487
Subset 46,37,pure,0.7107107107107107
Subset 46,37,enhanced,0.7067067067067067
Subset 46,38,pure,0.6886886886886887
Subset 46,38,enhanced,0.7091273821464393
Subset 46,39,pure,0.7447447447447447
Subset 46,39,enhanced,0.7457457457457457
Subset 46,4,pure,0.7404809619238477
Subset 46,4,enhanced,0.7346733668341708
Subset 46,40,pure,0.6886886886886887
Subset 46,40,enhanced,0.6996996996996997
Subset 46,41,pure,0.6856856856856857
Subset 46,41,enhanced,0.6826826826826827
Subset 46,42,pure,0.7437437437437437
Subset 46,42,enhanced,0.7364729458917836
Subset 46,43,pure,0.6716716716716716
Subset 46,43,enhanced,0.7017017017017017
Subset 46,44,pure,0.6804853387259858
Subset 46,44,enhanced,0.6727089627391742
Subset 46,5,pure,0.7347347347347347
Subset 46,5,enhanced,0.7375381485249237
Subset 46,6,pure,0.7527527527527528
Subset 46,6,enhanced,0.7550607287449392
Subset 46,7,pure,0.7364729458917836
Subset 46,7,enhanced,0.7257257257257257
Subset 46,8,pure,0.7197197197197197
Subset 46,8,enhanced,0.7237237237237237
Subset 46,9,pure,0.7537537537537538
Subset 46,9,enhanced,0.7467467467467468
Subset 54,0,pure,0.7287287287287287
Subset 54,0,enhanced,0.7377377377377378
Subset 54,1,pure,0.7447447447447447
Subset 54,1,enhanced,0.7595190380761523
Subset 54,10,pure,0.7264529058116233
Subset 54,10,enhanced,0.7223910840932117
Subset 54,11,pure,0.7017017017017017
Subset 54,11,enhanced,0.7067067067067067
Subset 54,12,pure,0.7537537537537538
Subset 54,12,enhanced,0.7507507507507507
Subset 54,13,pure,0.7264529058116233
Subset 54,13,enhanced,0.7097097097097097
Subset 54,14,pure,0.6943887775551102
Subset 54,14,enhanced,0.7034068136272545
Subset 54,15,pure,0.7419678714859438
Subset 54,15,enhanced,0.7487487487487487
Subset 54,16,pure,0.7565392354124748
Subset 54,16,enhanced,0.7542627883650953
Subset 54,17,pure,0.7407407407407407
Subset 54,17,enhanced,0.7347347347347347
Subset 54,18,pure,0.7532729103726082
Subset 54,18,enhanced,0.7585170340681363
Subset 54,19,pure,0.7382146439317954
Subset 54,19,enhanced,0.7277277277277278
Subset 54,2,pure,0.7384769539078156
Subset 54,2,enhanced,0.7492477432296891
Subset 54,20,pure,0.7144288577154309
Subset 54,20,enhanced,0.7097097097097097
Subset 54,21,pure,0.750501002004008
Subset 54,21,enhanced,0.7547547547547547
Subset 54,22,pure,0.7304609218436874
Subset 54,22,enhanced,0.7187187187187187
Subset 54,23,pure,0.7034068136272545
Subset 54,23,enhanced,0.7067067067067067
Subset 54,24,pure,0.7545090180360722
Subset 54,24,enhanced,0.7459839357429718
Subset 54,25,pure,0.7207207207207207
Subset 54,25,enhanced,0.7044088176352705
Subset 54,26,pure,0.6867469879518072
Subset 54,26,enhanced,0.6840521564694082
Subset 54,27,pure,0.750501002004008
Subset 54,27,enhanced,0.7525050100200401
Subset 54,28,pure,0.7137137137137137
Subset 54,28,enhanced,0.6913827655310621
Subset 54,29,pure,0.6830985915492958
Subset 54,29,enhanced,0.679037111334002
Subset 54,3,pure,0.7527527527527528
Subset 54,3,enhanced,0.7622868605817452
Subset 54,30,pure,0.7467467467467468
Subset 54,30,enhanced,0.7570564516129032
Subset 54,31,pure,0.7407407407407407
Subset 54,31,enhanced,0.7397397397397397
Subset 54,32,pure,0.7309236947791165
Subset 54,32,enhanced,0.7257257257257257
Subset 54,33,pure,0.7540322580645161
Subset 54,33,enhanced,0.7565392354124748
Subset 54,34,pure,0.7337337337337337
Subset 54,34,enhanced,0.7291875626880642
Subset 54,35,pure,0.7167167167167167
Subset 54,35,enhanced,0.6946946946946947
Subset 54,36,pure,0.7547547547547547
Subset 54,36,enhanced,0.7497497497497497
Subset 54,37,pure,0.7257257257257257
Subset 54,37,enhanced,0.7028112449799196
Subset 54,38,pure,0.7107107107107107
Subset 54,38,enhanced,0.687374749498998
Subset 54,39,pure,0.7467467467467468
Subset 54,39,enhanced,0.7517517517517518
Subset 54,4,pure,0.7377377377377378
Subset 54,4,enhanced,0.7417417417417418
Subset 54,40,pure,0.7144288577154309
Subset 54,40,enhanced,0.6846846846846847
Subset 54,41,pure,0.6898989898989899
Subset 54,41,enhanced,0.6804020100502512
Subset 54,42,pure,0.7477477477477478
Subset 54,42,enhanced,0.7457457457457457
Subset 54,43,pure,0.7117117117117117
Subset 54,43,enhanced,0.6726726726726727
Subset 54,44,pure,0.6970618034447822
Subset 54,44,enhanced,0.671414038657172
Subset 54,5,pure,0.7294589178356713
Subset 54,5,enhanced,0.7217217217217218
Subset 54,6,pure,0.7522567703109327
Subset 54,6,enhanced,0.7617617617617618
Subset 54,7,pure,0.7337337337337337
Subset 54,7,enhanced,0.7347347347347347
Subset 54,8,pure,0.7227227227227228
Subset 54,8,enhanced,0.7212121212121212
Subset 54,9,pure,0.7517517517517518
Subset 54,9,enhanced,0.7575757575757576
Subset 58,0,pure,0.7377377377377378
Subset 58,0,enhanced,0.7507537688442211
Subset 58,1,pure,0.7547547547547547
Subset 58,1,enhanced,0.7577577577577578
Subset 58,10,pure,0.7287287287287287
Subset 58,10,enhanced,0.7294589178356713
Subset 58,11,pure,0.7132796780684104
Subset 58,11,enhanced,0.7056451612903226
Subset 58,12,pure,0.7527527527527528
Subset 58,12,enhanced,0.7467467467467468
Subset 58,13,pure,0.7257257257257257
Subset 58,13,enhanced,0.7227227227227228
Subset 58,14,pure,0.7056451612903226
Subset 58,14,enhanced,0.7108433734939759
Subset 58,15,pure,0.7492477432296891
Subset 58,15,enhanced,0.7620481927710844
Subset 58,16,pure,0.7657657657657657
Subset 58,16,enhanced,0.7487487487487487
Subset 58,17,pure,0.7517517517517518
Subset 58,17,enhanced,0.7592778335005015
Subset 58,18,pure,0.7507507507507507
Subset 58,18,enhanced,0.7547547547547547
Subset 58,19,pure,0.7384769539078156
Subset 58,19,enhanced,0.7287287287287287
Subset 58,2,pure,0.751503006012024
Subset 58,2,enhanced,0.7567567567567568
Subset 58,20,pure,0.7277277277277278
Subset 58,20,enhanced,0.7297297297297297
Subset 58,21,pure,0.7567567567567568
Subset 58,21,enhanced,0.7474949899799599
Subset 58,22,pure,0.7327327327327328
Subset 58,22,enhanced,0.7257257257257257
Subset 58,23,pure,0.7107107107107107
Subset 58,23,enhanced,0.7104208416833667
Subset 58,24,pure,0.7512588116817724
Subset 58,24,enhanced,0.7530120481927711
Subset 58,25,pure,0.7147147147147147
Subset 58,25,enhanced,0.714859437751004
Subset 58,26,pure,0.693158953722334
Subset 58,26,enhanced,0.7057057057057057
Subset 58,27,pure,0.7497497497497497
Subset 58,27,enhanced,0.7407407407407407
Subset 58,28,pure,0.7147147147147147
Subset 58,28,enhanced,0.7121212121212122
Subset 58,29,pure,0.6866866866866866
Subset 58,29,enhanced,0.7015075376884422
Subset 58,3,pure,0.7547547547547547
Subset 58,3,enhanced,0.7562688064192578
Subset 58,30,pure,0.7545271629778671
Subset 58,30,enhanced,0.7527527527527528
Subset 58,31,pure,0.7527527527527528
Subset 58,31,enhanced,0.7577577577577578
Subset 58,32,pure,0.7467467467467468
Subset 58,32,enhanced,0.7507507507507507
Subset 58,33,pure,0.7555110220440882
Subset 58,33,enhanced,0.7517517517517518
Subset 58,34,pure,0.7337337337337337
Subset 58,34,enhanced,0.7297297297297297
Subset 58,35,pure,0.7257257257257257
Subset 58,35,enhanced,0.7142857142857143
Subset 58,36,pure,0.7522567703109327
Subset 58,36,enhanced,0.7497497497497497
Subset 58,37,pure,0.7167167167167167
Subset 58,37,enhanced,0.714859437751004
Subset 58,38,pure,0.7016129032258065
Subset 58,38,enhanced,0.6986986986986987
Subset 58,39,pure,0.7497497497497497
Subset 58,39,enhanced,0.7464929859719439
Subset 58,4,pure,0.7577577577577578
Subset 58,4,enhanced,0.7477477477477478
Subset 58,40,pure,0.7094188376753507
Subset 58,40,enhanced,0.6976976976976977
Subset 58,41,pure,0.683049147442327
Subset 58,41,enhanced,0.6993987975951904
Subset 58,42,pure,0.7464929859719439
Subset 58,42,enhanced,0.7357357357357357
Subset 58,43,pure,0.7089627391742196
Subset 58,43,enhanced,0.6956956956956957
Subset 58,44,pure,0.6796796796796797
Subset 58,44,enhanced,0.6786786786786787
Subset 58,5,pure,0.7402206619859579
Subset 58,5,enhanced,0.7407407407407407
Subset 58,6,pure,0.7547547547547547
Subset 58,6,enhanced,0.7525050100200401
Subset 58,7,pure,0.7457457457457457
Subset 58,7,enhanced,0.7319277108433735
Subset 58,8,pure,0.7297297297297297
Subset 58,8,enhanced,0.7223340040241448
Subset 58,9,pure,0.757271815446339
Subset 58,9,enhanced,0.7487487487487487
Subset 61,0,pure,0.7497497497497497
Subset 61,0,enhanced,0.7502507522567703
Subset 61,1,pure,0.7535070140280561
Subset 61,1,enhanced,0.7517517517517518
Subset 61,10,pure,0.7324649298597194
Subset 61,10,enhanced,0.7206030150753768
Subset 61,11,pure,0.7187187187187187
Subset 61,11,enhanced,0.6936936936936937
Subset 61,12,pure,0.7497497497497497
Subset 61,12,enhanced,0.7507507507507507
Subset 61,13,pure,0.720440881763527
Subset 61,13,enhanced,0.7088353413654619
Subset 61,14,pure,0.7097097097097097
Subset 61,14,enhanced,0.7007007007007007
Subset 61,15,pure,0.7517517517517518
Subset 61,15,enhanced,0.7567567567567568
Subset 61,16,pure,0.7537537537537538
Subset 61,16,enhanced,0.7577577577577578
Subset 61,17,pure,0.7394789579158316
Subset 61,17,enhanced,0.7457457457457457
Subset 61,18,pure,0.753259779338014
Subset 61,18,enhanced,0.7618090452261307
Subset 61,19,pure,0.7407035175879397
Subset 61,19,enhanced,0.7295660948536832
Subset 61,2,pure,0.7467467467467468
Subset 61,2,enhanced,0.7577889447236181
Subset 61,20,pure,0.7287287287287287
Subset 61,20,enhanced,0.7253521126760564
Subset 61,21,pure,0.7487487487487487
Subset 61,21,enhanced,0.7542627883650953
Subset 61,22,pure,0.7337337337337337
Subset 61,22,enhanced,0.7097097097097097
Subset 61,23,pure,0.7164328657314629
Subset 61,23,enhanced,0.7107107107107107
Subset 61,24,pure,0.7520325203252033
Subset 61,24,enhanced,0.7467467467467468
Subset 61,25,pure,0.7157157157157157
Subset 61,25,enhanced,0.7037037037037037
Subset 61,26,pure,0.701913393756294
Subset 61,26,enhanced,0.6906906906906907
Subset 61,27,pure,0.7424849699398798
Subset 61,27,enhanced,0.7454909819639278
Subset 61,28,pure,0.7057057057057057
Subset 61,28,enhanced,0.7034068136272545
Subset 61,29,pure,0.6916916916916916
Subset 61,29,enhanced,0.6835187057633973
Subset 61,3,pure,0.7507507507507507
Subset 61,3,enhanced,0.7587587587587588
Subset 61,30,pure,0.7487487487487487
Subset 61,30,enhanced,0.7597597597597597
Subset 61,31,pure,0.7547547547547547
Subset 61,31,enhanced,0.7527527527527528
Subset 61,32,pure,0.7387387387387387
Subset 61,32,enhanced,0.7367367367367368
Subset 61,33,pure,0.7517587939698492
Subset 61,33,enhanced,0.7547547547547547
Subset 61,34,pure,0.7337337337337337
Subset 61,34,enhanced,0.7147147147147147
Subset 61,35,pure,0.7147147147147147
Subset 61,35,enhanced,0.7064128256513026
Subset 61,36,pure,0.750501002004008
Subset 61,36,enhanced,0.750501002004008
Subset 61,37,pure,0.7267267267267268
Subset 61,37,enhanced,0.7044088176352705
Subset 61,38,pure,0.7004008016032064
Subset 61,38,enhanced,0.6920762286860582
Subset 61,39,pure,0.7417417417417418
Subset 61,39,enhanced,0.7457457457457457
Subset 61,4,pure,0.7464788732394366
Subset 61,4,enhanced,0.7487487487487487
Subset 61,40,pure,0.7038152610441767
Subset 61,40,enhanced,0.6986986986986987
Subset 61,41,pure,0.6940822467402207
Subset 61,41,enhanced,0.6746987951807228
Subset 61,42,pure,0.7427427427427428
Subset 61,42,enhanced,0.7457286432160805
Subset 61,43,pure,0.7037037037037037
Subset 61,43,enhanced,0.685370741482966
Subset 61,44,pure,0.6858006042296072
Subset 61,44,enhanced,0.6616616616616616
Subset 61,5,pure,0.7334669338677354
Subset 61,5,enhanced,0.7277277277277278
Subset 61,6,pure,0.7527527527527528
Subset 61,6,enhanced,0.7537537537537538
Subset 61,7,pure,0.7376884422110552
Subset 61,7,enhanced,0.7384769539078156
Subset 61,8,pure,0.7267267267267268
Subset 61,8,enhanced,0.717741935483871
Subset 61,9,pure,0.749498997995992
Subset 61,9,enhanced,0.7570564516129032
